word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
pig,bn:00042006n,"['свинья', 'кабаны', 'вепрь', 'свинья́', 'домашняя свинья', 'бо́ров', 'Sus scrofa domestica']","['Дома́шняя свинья́ — крупное парнокопытное млекопитающее животное рода кабанов, одомашненное человеком около 7 тыс. лет назад и распространённое главным образом в странах Запада, в Восточной Азии и в Океании.', 'Кабаны, или свиньи, — род парнокопытных из семейства свиных.', 'Одомашненное животное, подвид кабана', 'Род парнокопытных']","[('Дома́шняя ___́ — крупное парнокопытное млекопитающее животное рода кабанов, одомашненное человеком около 7 тыс. лет назад и распространённое главным образом в странах Запада, в Восточной Азии и в Океании.', ('свинья', 'Sus scrofa domestica', 'домашняя свинья', 'свинья́', 'кабаны', 'бо́ров', 'вепрь')), ('___, или свиньи, — род парнокопытных из семейства свиных.', ('кабаны', 'Sus scrofa domestica', 'домашняя свинья', 'свинья́', 'свинья', 'бо́ров', 'вепрь'))]","[('Дома́шняя ___ — крупное парнокопытное млекопитающее животное рода кабанов, одомашненное человеком около 7 тыс. лет назад и распространённое главным образом в странах Запада, в Восточной Азии и в Океании.', ('свинья́', 'Sus scrofa domestica', 'домашняя свинья', 'кабаны', 'бо́ров', 'вепрь')), ('Дома́шняя ___́ — крупное парнокопытное млекопитающее животное рода кабанов, одомашненное человеком около 7 тыс. лет назад и распространённое главным образом в странах Запада, в Восточной Азии и в Океании.', ('свинья', 'Sus scrofa domestica', 'домашняя свинья', 'кабаны', 'бо́ров', 'вепрь')), ('___, или свиньи, — род парнокопытных из семейства свиных.', ('кабаны', 'Sus scrofa domestica', 'домашняя свинья', 'свинья́', 'свинья', 'бо́ров', 'вепрь'))]","['Одомашненное животное, подвид кабана', 'Род парнокопытных']"
pipe,bn:00062568n,"['труба', 'трубопровод']","['Трубопрово́д — инженерно-техническое сооружение, предназначенное для транспортировки газообразных и жидких веществ, пылевидных и разжиженных масс, а также твёрдого топлива и иных твёрдых веществ в виде раствора под воздействием разницы давлений в поперечных сечениях трубы.', 'Труба́ - промышленное изделие, представляющее собой пустотелый цилиндрический профиль постоянного сечения длиной обычно 3 м, 6 м, 12 м, большей или заказанной длины.', 'система труб для транспорта газов или жидкостей']","[('___́ - промышленное изделие, представляющее собой пустотелый цилиндрический профиль постоянного сечения длиной обычно 3 м, 6 м, 12 м, большей или заказанной длины.', ('труба', 'трубопровод'))]","[('___́ - промышленное изделие, представляющее собой пустотелый цилиндрический профиль постоянного сечения длиной обычно 3 м, 6 м, 12 м, большей или заказанной длины.', ('труба', 'трубопровод'))]","['Трубопрово́д — инженерно-техническое сооружение, предназначенное для транспортировки газообразных и жидких веществ, пылевидных и разжиженных масс, а также твёрдого топлива и иных твёрдых веществ в виде раствора под воздействием разницы давлений в поперечных сечениях трубы.', 'система труб для транспорта газов или жидкостей']"
plane,bn:00001697n,"['самолёт', 'аэроплан', 'аэропла́н']","['Самолёт', 'Воздушное судно с силовой установкой и неподвижной относительно фюзеляжа центральной частью крыла']","[('___', ('самолёт', 'аэропла́н', 'аэроплан'))]","[('___', ('самолёт', 'аэропла́н', 'аэроплан'))]",['Воздушное судно с силовой установкой и неподвижной относительно фюзеляжа центральной частью крыла']
plate,bn:00050990n,"['автомоби́льный но́мер', 'номерно́й знак', 'автомобильный номер', 'автомобильные номера']","['Автомоби́льный но́мер — индивидуальный регистрационный знак транспортного средства.', 'Индивидуальный регистрационный знак (номер) автомобиля']","[('___ — индивидуальный регистрационный знак транспортного средства.', ('автомоби́льный но́мер', 'автомобильные номера', 'автомобильный номер', 'номерно́й знак'))]","[('___ — индивидуальный регистрационный знак транспортного средства.', ('автомоби́льный но́мер', 'автомобильные номера', 'автомобильный номер', 'номерно́й знак'))]",['Индивидуальный регистрационный знак (номер) автомобиля']
plough,bn:00063057n,['плуг'],"['Плуг — орудие для вспашки плотной почвы, поднятия целины.', 'Сельскохозяйственное орудие для основной обработки почвы']","[('___ — орудие для вспашки плотной почвы, поднятия целины.', ('плуг',))]","[('___ — орудие для вспашки плотной почвы, поднятия целины.', ('плуг',))]",['Сельскохозяйственное орудие для основной обработки почвы']
pocket,bn:00063155n,"['карман', 'карман брюк', 'карма́н', 'карма́шек']","['Карман —', 'Сопутствующее хранилище, часть предмета одежды']","[('___ —', ('карман', 'карман брюк', 'карма́шек', 'карма́н'))]","[('___ —', ('карман', 'карман брюк', 'карма́шек', 'карма́н'))]","['Сопутствующее хранилище, часть предмета одежды']"
potato,bn:00047481n,['картофель'],"['Карто́фель, или Паслён клубнено́сный ', 'Вид растений семейства Паслёновые']",[],[],"['Карто́фель, или Паслён клубнено́сный ', 'Вид растений семейства Паслёновые']"
prison,bn:00064468n,"['тюрьма', 'тюряга', 'острог', 'каталажка', 'узилище', 'кутузка']","['Тюрьма́', 'Место, где люди содержатся в заключении']","[('___́', ('тюрьма', 'каталажка', 'узилище', 'кутузка', 'тюряга', 'острог'))]","[('___́', ('тюрьма', 'каталажка', 'узилище', 'кутузка', 'тюряга', 'острог'))]","['Место, где люди содержатся в заключении']"
rail,bn:00077838n,"['колея', 'рельсы', 'железнодорожный путь']","['Железнодорожный путь — комплекс инженерных сооружений, образующих в полосе отвода дорогу с направляющей рельсовой колеёй.', 'Элемент инфраструктуры железнодорожного транспорта']","[('___ — комплекс инженерных сооружений, образующих в полосе отвода дорогу с направляющей рельсовой колеёй.', ('железнодорожный путь', 'рельсы', 'колея'))]","[('___ — комплекс инженерных сооружений, образующих в полосе отвода дорогу с направляющей рельсовой колеёй.', ('железнодорожный путь', 'рельсы', 'колея'))]",['Элемент инфраструктуры железнодорожного транспорта']
rat,bn:00056119n,"['домовые мыши', 'мышь']","['Домовые мыши ', 'Разговорное название животных семейства Muridae']","[('___ ', ('домовые мыши', 'мышь'))]","[('___ ', ('домовые мыши', 'мышь'))]",['Разговорное название животных семейства Muridae']
receipt,bn:00000746n,"['счет', 'Инвойс', 'счёт-факту́ра', 'инвойс', 'инво́йс', 'счёт', 'факту́ра', 'накладна́я']",['Инвойс '],"[('___ ', ('Инвойс', 'счёт-факту́ра', 'накладна́я', 'факту́ра', 'инво́йс', 'счет', 'счёт')), ('___ ', ('инвойс', 'счёт-факту́ра', 'накладна́я', 'факту́ра', 'инво́йс', 'счет', 'счёт'))]","[('___ ', ('Инвойс', 'счёт-факту́ра', 'накладна́я', 'факту́ра', 'инво́йс', 'счет', 'счёт')), ('___ ', ('инвойс', 'счёт-факту́ра', 'накладна́я', 'факту́ра', 'инво́йс', 'счет', 'счёт'))]",[]
rod,bn:00022813n,"['телесные наказания', 'теле́сное наказа́ние']","['Теле́сные наказа́ния — одна из наиболее древних форм физического насилия, мер наказания, заключающаяся в причинении наказуемому лицу физической боли, увечья или того и другого сразу.', 'Мера наказания, заключающаяся в причинении наказуемому лицу физической боли или увечья']",[],[],"['Теле́сные наказа́ния — одна из наиболее древних форм физического насилия, мер наказания, заключающаяся в причинении наказуемому лицу физической боли, увечья или того и другого сразу.', 'Мера наказания, заключающаяся в причинении наказуемому лицу физической боли или увечья']"
roof,bn:00068220n,['крыша'],"['Покрытие здания или крыша — верхняя конструкция здания, которая служит для защиты от атмосферных осадков, дождевой и талой воды.']","[('Покрытие здания или ___ — верхняя конструкция здания, которая служит для защиты от атмосферных осадков, дождевой и талой воды.', ('крыша',))]","[('Покрытие здания или ___ — верхняя конструкция здания, которая служит для защиты от атмосферных осадков, дождевой и талой воды.', ('крыша',))]",[]
sail,bn:00068849n,"['парусник', 'парусное судно', 'па́русное су́дно', 'па́русник']","['Пáрусное су́дно — судно, которое использует парус и силу ветра для движения.']",[],[],"['Пáрусное су́дно — судно, которое использует парус и силу ветра для движения.']"
school,bn:00069619n,"['университет', 'школа', 'шко́ла', 'учи́лище']","['Шко́ла (от др.-греч.', 'учебное заведение для детей и подростков']","[('___ (от др.-греч.', ('шко́ла', 'университет', 'учи́лище', 'школа'))]","[('___ (от др.-греч.', ('шко́ла', 'университет', 'учи́лище', 'школа'))]",['учебное заведение для детей и подростков']
scissors,bn:00060209n,"['ножницы', 'Ножницы', 'но́жницы']",['Но́жницы — инструмент для разрезания относительно тонких материалов.'],"[('___ — инструмент для разрезания относительно тонких материалов.', ('но́жницы', 'ножницы', 'Ножницы'))]","[('___ — инструмент для разрезания относительно тонких материалов.', ('но́жницы', 'ножницы', 'Ножницы'))]",[]
screw,bn:00069863n,['винт'],"['Винт', 'Простейший механизм']","[('___', ('винт',))]","[('___', ('винт',))]",['Простейший механизм']
seed,bn:00070253n,"['се́мя', 'семя', 'семена́']","['Се́мя — особая многоклеточная структура сложного строения, служащая для размножения и расселения семенных растений, обычно развивающаяся после оплодотворения из семязачатка и содержащая зародыш.']","[('___ — особая многоклеточная структура сложного строения, служащая для размножения и расселения семенных растений, обычно развивающаяся после оплодотворения из семязачатка и содержащая зародыш.', ('се́мя', 'семена́', 'семя'))]","[('___ — особая многоклеточная структура сложного строения, служащая для размножения и расселения семенных растений, обычно развивающаяся после оплодотворения из семязачатка и содержащая зародыш.', ('се́мя', 'семена́')), ('Се́мя — особая многоклеточная структура сложного строения, служащая для размножения и расселения семенных растений, обычно развивающаяся после оплодотворения из ___зачатка и содержащая зародыш.', ('семя', 'семена́'))]",[]
sheep,bn:00070967n,"['овца', 'овечьи', 'Ovis aries', 'овца́', 'Ovis orientalis aries']","['Домашняя овца — парнокопытное млекопитающее из рода баранов, семейства полорогих.', 'Парнокопытное млекопитающее из рода баранов семейства полорогих']","[('Домашняя ___ — парнокопытное млекопитающее из рода баранов, семейства полорогих.', ('овца', 'Ovis orientalis aries', 'Ovis aries', 'овечьи', 'овца́'))]","[('Домашняя ___ — парнокопытное млекопитающее из рода баранов, семейства полорогих.', ('овца', 'Ovis orientalis aries', 'Ovis aries', 'овечьи', 'овца́'))]",['Парнокопытное млекопитающее из рода баранов семейства полорогих']
shelf,bn:00070999n,"['полка', 'по́лка']","['По́лка — мебельное изделие без передней стенки, с задней стенкой или без неё, для размещения книг и других предметов.', 'Горизонтальная поверхность для хранения']","[('___ — мебельное изделие без передней стенки, с задней стенкой или без неё, для размещения книг и других предметов.', ('по́лка', 'полка'))]","[('___ — мебельное изделие без передней стенки, с задней стенкой или без неё, для размещения книг и других предметов.', ('по́лка', 'полка'))]",['Горизонтальная поверхность для хранения']
ship,bn:00071103n,"['судно', 'кора́бль']","['Су́дно — плавучее сооружение, предназначенное для транспортных, промысловых, военных, научных, спортивных и других целей.', 'Плавсредство, используемое для перевозок']",[],[],"['Су́дно — плавучее сооружение, предназначенное для транспортных, промысловых, военных, научных, спортивных и других целей.', 'Плавсредство, используемое для перевозок']"
shirt,bn:00071142n,"['рубашка', 'соро́чка', 'руба́шка']","['Рубашка — вид одежды, относящийся к верхнему нательному белью.']","[('___ — вид одежды, относящийся к верхнему нательному белью.', ('рубашка', 'соро́чка', 'руба́шка'))]","[('___ — вид одежды, относящийся к верхнему нательному белью.', ('рубашка', 'соро́чка', 'руба́шка'))]",[]
shoe,bn:00071172n,"['обувь', 'полуботи́нок', 'туфли', 'боти́нок', 'башма́к', 'Лёгкая обувь', 'о́бувь', 'ту́фля']","['Лёгкая обувь — обувь, предназначенная для защиты ступни.', 'Вид обуви']","[('___ — обувь, предназначенная для защиты ступни.', ('Лёгкая обувь', 'полуботи́нок', 'боти́нок', 'башма́к', 'о́бувь', 'ту́фля', 'туфли')), ('Лёгкая ___ — ___, предназначенная для защиты ступни.', ('обувь', 'полуботи́нок', 'боти́нок', 'башма́к', 'о́бувь', 'ту́фля', 'туфли'))]","[('___ — обувь, предназначенная для защиты ступни.', ('Лёгкая обувь', 'полуботи́нок', 'боти́нок', 'башма́к', 'о́бувь', 'ту́фля', 'туфли')), ('Лёгкая ___ — ___, предназначенная для защиты ступни.', ('обувь', 'полуботи́нок', 'боти́нок', 'башма́к', 'о́бувь', 'ту́фля', 'туфли'))]",['Вид обуви']
skin,bn:00024643n,['кожа'],"['Ко́жа (лат.', 'Плёнка-покров позвоночных для защиты от среды']",[],[],"['Плёнка-покров позвоночных для защиты от среды', 'Ко́жа (лат.']"
skirt,bn:00072004n,"['юбка', 'ю́бка']","['Ю́бка ', 'длинные юбки']","[('___ ', ('ю́бка', 'юбка'))]","[('___ ', ('ю́бка', 'юбка'))]",['длинные юбки']
snake,bn:00059150n,"['змея', 'змея́', 'змеи']","['Зме́и (лат.', 'Подотряд чешуйчатых пресмыкающихся', 'Пресмыкающееся из подотряда Змеи (Serpentes), обычно с чешуйчатым цилиндрическим телом без конечностей, глазами без подвижных век и подвижным соединением левой и правой частей челюстей, позволяющим заглатывать крупную добычу целиком.']","[('Пресмыкающееся из подотряда ___ (Serpentes), обычно с чешуйчатым цилиндрическим телом без конечностей, глазами без подвижных век и подвижным соединением левой и правой частей челюстей, позволяющим заглатывать крупную добычу целиком.', ('змеи', 'змея́', 'змея'))]","[('Пресмыкающееся из подотряда ___ (Serpentes), обычно с чешуйчатым цилиндрическим телом без конечностей, глазами без подвижных век и подвижным соединением левой и правой частей челюстей, позволяющим заглатывать крупную добычу целиком.', ('змеи', 'змея́', 'змея'))]","['Подотряд чешуйчатых пресмыкающихся', 'Зме́и (лат.']"
sock,bn:00072576n,"['носок', 'носки', 'носо́к']","['Носки́ — вид нательного белья, короткий чулок, не доходящий до колена.', 'Короткий чулок, не доходящий до колена']","[('___́ — вид нательного белья, короткий чулок, не доходящий до колена.', ('носки', 'носо́к', 'носок'))]","[('___́ — вид нательного белья, короткий чулок, не доходящий до колена.', ('носки', 'носо́к', 'носок'))]","['Короткий чулок, не доходящий до колена']"
sponge,bn:00060631n,['губки'],['Гу́бки (лат.'],[],[],['Гу́бки (лат.']
spoon,bn:00073547n,['ложка'],"['Ло́жка — столовый прибор, отдалённо напоминающий небольшую лопатку в виде небольшого мелкого сосуда-чашечки, соединённого перемычкой с держалом.', 'Столовый прибор']",[],[],"['Ло́жка — столовый прибор, отдалённо напоминающий небольшую лопатку в виде небольшого мелкого сосуда-чашечки, соединённого перемычкой с держалом.', 'Столовый прибор']"
spring,bn:00036077n,"['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник']","['Родни́к — естественный выход подземных вод на земную поверхность на суше или под водой.', 'Бьющий из-под земли поток воды']","[('___ — естественный выход подземных вод на земную поверхность на суше или под водой.', ('родни́к', 'студене́ц', 'исто́чник', 'родник', 'ключ'))]","[('___ — естественный выход подземных вод на земную поверхность на суше или под водой.', ('родни́к', 'студене́ц', 'исто́чник', 'родник', 'ключ'))]",['Бьющий из-под земли поток воды']
square,bn:00036107n,['квадрат'],"['Квадра́т — правильный четырёхугольник, то есть плоский четырёхугольник, у которого все углы равны и все стороны равны.', 'Геометрическая фигура, правильный четырёхугольник']",[],[],"['Квадра́т — правильный четырёхугольник, то есть плоский четырёхугольник, у которого все углы равны и все стороны равны.', 'Геометрическая фигура, правильный четырёхугольник']"
stamp,bn:00063768n,"['марка', 'ма́рка', 'почто́вая ма́рка', 'почтовая марка']","['Почтовая марка — специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами и обладающий определённой номинальной стоимостью.', 'Специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами']","[('___ — специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами и обладающий определённой номинальной стоимостью.', ('почтовая марка', 'почто́вая ма́рка', 'ма́рка')), ('Почтовая ___ — специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами и обладающий определённой номинальной стоимостью.', ('марка', 'почто́вая ма́рка', 'ма́рка'))]","[('___ — специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами и обладающий определённой номинальной стоимостью.', ('почтовая марка', 'почто́вая ма́рка', 'ма́рка')), ('Почтовая ___ — специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами и обладающий определённой номинальной стоимостью.', ('марка', 'почто́вая ма́рка', 'ма́рка'))]","['Специальный знак почтовой оплаты, выпускаемый и продаваемый национальными почтовыми ведомствами']"
star,bn:00073964n,"['звезда', 'звезда́']","['Звезда́ — массивное самосветящееся небесное тело, состоящее из газа и плазмы, в котором происходят, происходили или будут происходить термоядерные реакции.', 'Массивное небесное тело, состоящее из газа и плазмы, и способное к поддержанию теромоядерных реакций']","[('___́ — массивное самосветящееся небесное тело, состоящее из газа и плазмы, в котором происходят, происходили или будут происходить термоядерные реакции.', ('звезда', 'звезда́'))]","[('___ — массивное самосветящееся небесное тело, состоящее из газа и плазмы, в котором происходят, происходили или будут происходить термоядерные реакции.', ('звезда́',)), ('___́ — массивное самосветящееся небесное тело, состоящее из газа и плазмы, в котором происходят, происходили или будут происходить термоядерные реакции.', ('звезда',))]","['Массивное небесное тело, состоящее из газа и плазмы, и способное к поддержанию теромоядерных реакций']"
stem,bn:00073868n,"['сте́бель', 'стебель', 'стебло́']","['Сте́бель — удлинённый побег высших растений, служащий механической осью, а также выполняющий функцию проводящей и опорной базы для листьев, почек, цветков.']","[('___ — удлинённый побег высших растений, служащий механической осью, а также выполняющий функцию проводящей и опорной базы для листьев, почек, цветков.', ('сте́бель', 'стебель', 'стебло́'))]","[('___ — удлинённый побег высших растений, служащий механической осью, а также выполняющий функцию проводящей и опорной базы для листьев, почек, цветков.', ('сте́бель', 'стебель', 'стебло́'))]",[]
stick,bn:00019079n,['сигара'],['Сига́ра'],[],[],['Сига́ра']
stocking,bn:00074376n,['чулки'],['Чулки́ — вид одежды для нижней части ног.'],"[('___́ — вид одежды для нижней части ног.', ('чулки',))]","[('___́ — вид одежды для нижней части ног.', ('чулки',))]",[]
stomach,bn:00012886n,"['желудок', 'желудок человека', 'Желудок человека']","['Желу́док (лат.', 'Орган человека']",[],[],"['Желу́док (лат.', 'Орган человека']"
store,bn:00021483n,"['устройство хранения информации', 'запоминающее устройство', 'компью́терная па́мять', 'компьютерная память', 'компьютерное хранилище данных', 'па́мять']","['Компью́терная па́мять — часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени.', 'Часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени']","[('___ — часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени.', ('компью́терная па́мять', 'устройство хранения информации', 'компьютерное хранилище данных', 'запоминающее устройство', 'компьютерная память')), ('Компью́терная ___ — часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени.', ('па́мять', 'устройство хранения информации', 'компьютерное хранилище данных', 'запоминающее устройство', 'компьютерная память'))]","[('___ — часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени.', ('компью́терная па́мять', 'устройство хранения информации', 'компьютерное хранилище данных', 'запоминающее устройство', 'компьютерная память')), ('Компью́терная ___ — часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени.', ('па́мять', 'устройство хранения информации', 'компьютерное хранилище данных', 'запоминающее устройство', 'компьютерная память'))]","['Часть вычислительной машины, физическое устройство или среда для хранения данных, используемая в вычислениях систем в течение определённого времени']"
sun,bn:00028190n,"['воскресенье', 'неде́ля', 'воскресе́нье', 'День Господень']","['Воскресе́нье — день недели между субботой и понедельником.', 'День недели']","[('___ — день недели между субботой и понедельником.', ('воскресе́нье', 'День Господень', 'воскресенье', 'неде́ля'))]","[('___ — день недели между субботой и понедельником.', ('воскресе́нье', 'День Господень', 'воскресенье', 'неде́ля'))]",['День недели']
table,bn:00075813n,['стол'],"['Стол — предмет мебели, имеющий приподнятую горизонтальную или наклонную поверхность и предназначенный для размещения предметов, выполнения работ, принятия пищи, игр, рисования, обучения и другой деятельности.', 'Мебельное изделие с плоской горизонтальной поверхностью, предназначенное для выполнения различных работ или принятия пищи']","[('___ — предмет мебели, имеющий приподнятую горизонтальную или наклонную поверхность и предназначенный для размещения предметов, выполнения работ, принятия пищи, игр, рисования, обучения и другой деятельности.', ('стол',))]","[('___ — предмет мебели, имеющий приподнятую горизонтальную или наклонную поверхность и предназначенный для размещения предметов, выполнения работ, принятия пищи, игр, рисования, обучения и другой деятельности.', ('стол',))]","['Мебельное изделие с плоской горизонтальной поверхностью, предназначенное для выполнения различных работ или принятия пищи']"
tail,bn:00075904n,['хвост'],"['Хвост в сравнительной анатомии — отдел сегментированного тела, располагающийся позади анального отверстия и не содержащий кишечника.', 'Отдел сегментированного тела, располагающийся позади анального отверстия и не содержащий кишечника']","[('___ в сравнительной анатомии — отдел сегментированного тела, располагающийся позади анального отверстия и не содержащий кишечника.', ('хвост',))]","[('___ в сравнительной анатомии — отдел сегментированного тела, располагающийся позади анального отверстия и не содержащий кишечника.', ('хвост',))]","['Отдел сегментированного тела, располагающийся позади анального отверстия и не содержащий кишечника']"
thread,bn:00077028n,"['пряжа', 'пря́жа', 'нить', 'ни́тка']","['Пря́жа — нить, скрученная из продольно и последовательно расположенных волокон.']","[('___ — нить, скрученная из продольно и последовательно расположенных волокон.', ('пря́жа', 'ни́тка', 'пряжа')), ('Пря́жа — ___, скрученная из продольно и последовательно расположенных волокон.', ('нить', 'ни́тка', 'пряжа'))]","[('___ — нить, скрученная из продольно и последовательно расположенных волокон.', ('пря́жа', 'ни́тка', 'пряжа')), ('Пря́жа — ___, скрученная из продольно и последовательно расположенных волокон.', ('нить', 'ни́тка', 'пряжа'))]",[]
throat,bn:00061897n,"['горло', 'го́рло', 'гло́тка']",['Го́рло — часть шеи впереди позвоночного столба.'],"[('___ — часть шеи впереди позвоночного столба.', ('го́рло', 'гло́тка', 'горло'))]","[('___ — часть шеи впереди позвоночного столба.', ('го́рло', 'гло́тка', 'горло'))]",[]
thumb,bn:00063376n,"['большой палец', 'большо́й па́лец']","['Большой палец руки — I палец кисти человека, противопоставленный остальным пальцам.', 'Палец кисти человека']","[('___ руки — I палец кисти человека, противопоставленный остальным пальцам.', ('большой палец', 'большо́й па́лец'))]","[('___ руки — I палец кисти человека, противопоставленный остальным пальцам.', ('большой палец', 'большо́й па́лец'))]",['Палец кисти человека']
ticket,bn:00033665n,"['плата за проезд', 'пла́та за прое́зд', 'оплата стоимости проезда', 'цена́ биле́та']",['Оплата проезда в общественном транспорте'],[],[],['Оплата проезда в общественном транспорте']
toe,bn:00077465n,"['мизинец', 'палец', 'па́лец на ноге́', 'палец стопы', 'па́лец ноги́', 'па́лец']","['Па́льцы стопы́, па́льцы ноги́ — части стопы человека, которые являются наиболее дистальными по отношению к телу.']",[],[],"['Па́льцы стопы́, па́льцы ноги́ — части стопы человека, которые являются наиболее дистальными по отношению к телу.']"
tooth,bn:00077593n,"['зуб', 'зубы человека', 'Зубы человека']","['Зуб — костное образование, во множестве расположенное в ротовой полости большинства позвоночных.', 'Зубы — органы в ротовой полости человека, служащие для первичной механической обработки пищи.', 'Образования, состоящие в основном из твердых тканей, предназначенные для первичной механической обработки пищи']","[('___ — костное образование, во множестве расположенное в ротовой полости большинства позвоночных.', ('зуб', 'зубы человека', 'Зубы человека'))]","[('___ — костное образование, во множестве расположенное в ротовой полости большинства позвоночных.', ('зуб', 'зубы человека', 'Зубы человека')), ('___ы — органы в ротовой полости человека, служащие для первичной механической обработки пищи.', ('зуб', 'зубы человека', 'Зубы человека'))]","['Образования, состоящие в основном из твердых тканей, предназначенные для первичной механической обработки пищи']"
town,bn:00077773n,"['малый город', 'бург']","['Малый город — это поселение, которое больше, чем сельский населённый пункт, но меньше, чем крупный город.', 'Тип поселения, меньше, чем город']","[('___ — это поселение, которое больше, чем сельский населённый пункт, но меньше, чем крупный город.', ('малый город', 'бург'))]","[('___ — это поселение, которое больше, чем сельский населённый пункт, но меньше, чем крупный город.', ('малый город', 'бург'))]","['Тип поселения, меньше, чем город']"
train,bn:00066028n,['поезд'],"['По́езд в современном понятии — сформированный и сцепленный состав, состоящий из группы вагонов, с одним или несколькими действующими локомотивами или моторными вагонами, приводящими его в движение, и имеющий установленные сигналы, которые обозначают его голову и хвост.', 'Состав сцепленных железнодорожных вагонов, приводимых в движение локомотивом или моторным вагоном']",[],[],"['По́езд в современном понятии — сформированный и сцепленный состав, состоящий из группы вагонов, с одним или несколькими действующими локомотивами или моторными вагонами, приводящими его в движение, и имеющий установленные сигналы, которые обозначают его голову и хвост.', 'Состав сцепленных железнодорожных вагонов, приводимых в движение локомотивом или моторным вагоном']"
tray,bn:00078102n,"['лоток', 'поднос']","['Подно́с — плоское изделие различной формы, предназначенное для подачи блюд к столу или используемое в качестве подставки для блюд.']",[],[],"['Подно́с — плоское изделие различной формы, предназначенное для подачи блюд к столу или используемое в качестве подставки для блюд.']"
tree,bn:00078131n,['дерево'],"['Де́рево (лат.', 'Жизненная форма деревянистых растений с единственной, отчётливо выраженной главной осью — стволом', 'Большое деревянное растение с чётким стволом которым имеет ветви или листья в какое-то положение над землёй.']",[],[],"['Большое деревянное растение с чётким стволом которым имеет ветви или листья в какое-то положение над землёй.', 'Жизненная форма деревянистых растений с единственной, отчётливо выраженной главной осью — стволом', 'Де́рево (лат.']"
trousers,bn:00060423n,['брюки'],['Брю́ки'],[],[],['Брю́ки']
umbrella,bn:00078920n,['зонт'],"['Зонт, зонтик ', 'Приспособление от дождя и солнца']","[('___, зонтик ', ('зонт',))]","[('___, ___ик ', ('зонт',))]",['Приспособление от дождя и солнца']
wall,bn:00080386n,['стена'],"['Стена́ — структурный элемент в архитектуре и строительстве, создающий внешний периметр здания или помещения в виде вертикальной ограждающей конструкции, отделяющей помещение от окружающего пространства или соседних комнат.', 'Вертикальная плоскость для разделения пространства']","[('___́ — структурный элемент в архитектуре и строительстве, создающий внешний периметр здания или помещения в виде вертикальной ограждающей конструкции, отделяющей помещение от окружающего пространства или соседних комнат.', ('стена',))]","[('___́ — структурный элемент в архитектуре и строительстве, создающий внешний периметр здания или помещения в виде вертикальной ограждающей конструкции, отделяющей помещение от окружающего пространства или соседних комнат.', ('стена',))]",['Вертикальная плоскость для разделения пространства']
watch,bn:00077172n,"['наручные часы', 'часы', 'наручные или карманные часы', 'часы́', 'Переносные часы', 'нару́чные часы́']","['Нару́чные часы́ — прибор, носимый на запястье и служащий для определения текущего времени и измерения временны́х интервалов.', 'Переносные часы ']","[('Нару́чные ___́ — прибор, носимый на запястье и служащий для определения текущего времени и измерения временны́х интервалов.', ('часы', 'наручные или карманные часы', 'Переносные часы', 'нару́чные часы́', 'наручные часы', 'часы́')), ('___ ', ('Переносные часы', 'наручные или карманные часы', 'нару́чные часы́', 'наручные часы', 'часы́')), ('Переносные ___ ', ('часы', 'наручные или карманные часы', 'нару́чные часы́', 'наручные часы', 'часы́'))]","[('___ — прибор, носимый на запястье и служащий для определения текущего времени и измерения временны́х интервалов.', ('нару́чные часы́', 'наручные или карманные часы', 'Переносные часы', 'наручные часы')), ('Нару́чные ___ — прибор, носимый на запястье и служащий для определения текущего времени и измерения временны́х интервалов.', ('часы́', 'наручные или карманные часы', 'Переносные часы', 'наручные часы')), ('Нару́чные ___́ — прибор, носимый на запястье и служащий для определения текущего времени и измерения временны́х интервалов.', ('часы', 'наручные или карманные часы', 'Переносные часы', 'наручные часы')), ('___ ', ('Переносные часы', 'наручные или карманные часы', 'нару́чные часы́', 'наручные часы', 'часы́')), ('Переносные ___ ', ('часы', 'наручные или карманные часы', 'нару́чные часы́', 'наручные часы', 'часы́'))]",[]
wheel,bn:00010248n,"['велосипед', 'велосипе́д', 'ве́лик']","['Велосипе́д ', 'Двухколёсное транспортное средство, приводимое в движение посредством педалей']","[('___ ', ('велосипе́д', 'велосипед', 'ве́лик'))]","[('___ ', ('велосипе́д', 'велосипед', 'ве́лик'))]","['Двухколёсное транспортное средство, приводимое в движение посредством педалей']"
